INFO 2025-10-15 17:37:37,304 chat_api.rag_service   5. Disposiciones Transitorias - Reglamento Completo - Score: 8.059
INFO 2025-10-15 17:37:37,305 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 17:37:37,305 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 17:38:57,512 chat_api.rag_service ⏱️ Tiempo de generación: 80.21s
INFO 2025-10-15 17:38:57,526 chat_api.rag_service ✅ Respuesta generada: 1819 caracteres
INFO 2025-10-15 17:39:28,589 chat_api.rag_service 🔍 Nueva consulta: Hola, cómo realizo una matricula por excepcion
INFO 2025-10-15 17:39:28,608 chat_api.rag_service 📊 Recuperados 5 documentos para: Hola, cómo realizo una matricula por excepcion...
INFO 2025-10-15 17:39:28,609 chat_api.rag_service   1. Matrícula por Excepción - Proceso Completo - Score: 23.146
INFO 2025-10-15 17:39:28,609 chat_api.rag_service   2. Convalidaciones - Proceso Completo - Score: 17.752
INFO 2025-10-15 17:39:28,609 chat_api.rag_service   3. Reactualización de Matrícula - Proceso Completo - Score: 9.479
INFO 2025-10-15 17:39:28,609 chat_api.rag_service   4. Proceso de Matrícula - Información Completa - Score: 8.077
INFO 2025-10-15 17:39:28,609 chat_api.rag_service   5. Disposiciones Transitorias - Reglamento Completo - Score: 8.059
INFO 2025-10-15 17:39:28,609 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 17:39:28,609 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 17:40:46,339 chat_api.rag_service ⏱️ Tiempo de generación: 77.73s
INFO 2025-10-15 17:40:46,339 chat_api.rag_service ✅ Respuesta generada: 2132 caracteres
INFO 2025-10-15 17:44:28,239 chat_api.rag_service 🔍 Nueva consulta: Hola, cómo realizo una matricula por excepcion
INFO 2025-10-15 17:44:28,260 chat_api.rag_service 📊 Recuperados 5 documentos para: Hola, cómo realizo una matricula por excepcion...
INFO 2025-10-15 17:44:28,260 chat_api.rag_service   1. Matrícula por Excepción - Proceso Completo - Score: 23.146
INFO 2025-10-15 17:44:28,260 chat_api.rag_service   2. Convalidaciones - Proceso Completo - Score: 17.752
INFO 2025-10-15 17:44:28,261 chat_api.rag_service   3. Reactualización de Matrícula - Proceso Completo - Score: 9.479
INFO 2025-10-15 17:44:28,261 chat_api.rag_service   4. Proceso de Matrícula - Información Completa - Score: 8.077
INFO 2025-10-15 17:44:28,261 chat_api.rag_service   5. Disposiciones Transitorias - Reglamento Completo - Score: 8.059
INFO 2025-10-15 17:44:28,261 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 17:44:28,261 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 17:45:41,409 chat_api.rag_service ⏱️ Tiempo de generación: 73.15s
INFO 2025-10-15 17:45:41,409 chat_api.rag_service ✅ Respuesta generada: 1815 caracteres
INFO 2025-10-15 18:04:09,488 chat_api.rag_service 🔍 Nueva consulta: Hola, cómo realizo una matricula por excepcion
INFO 2025-10-15 18:04:09,525 chat_api.rag_service 📊 Recuperados 5 documentos para: Hola, cómo realizo una matricula por excepcion...
INFO 2025-10-15 18:04:09,525 chat_api.rag_service   1. Matrícula por Excepción - Proceso Completo - Score: 23.146
